storage_astId,storage_contract,storage_label,storage_offset,storage_slot,storage_type
45637,contracts/EPASSVer1.sol:EPASSVer1,_initialized,0,0,t_uint8
45640,contracts/EPASSVer1.sol:EPASSVer1,_initializing,1,0,t_bool
47557,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,1,t_array(t_uint256)50_storage
48403,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,51,t_array(t_uint256)50_storage
45810,contracts/EPASSVer1.sol:EPASSVer1,_name,0,101,t_string_storage
45812,contracts/EPASSVer1.sol:EPASSVer1,_symbol,0,102,t_string_storage
45816,contracts/EPASSVer1.sol:EPASSVer1,_owners,0,103,t_mapping(t_uint256,t_address)
45820,contracts/EPASSVer1.sol:EPASSVer1,_balances,0,104,t_mapping(t_address,t_uint256)
45824,contracts/EPASSVer1.sol:EPASSVer1,_tokenApprovals,0,105,t_mapping(t_uint256,t_address)
45830,contracts/EPASSVer1.sol:EPASSVer1,_operatorApprovals,0,106,t_mapping(t_address,t_mapping(t_address,t_bool))
46672,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,107,t_array(t_uint256)44_storage
46887,contracts/EPASSVer1.sol:EPASSVer1,_ownedTokens,0,151,t_mapping(t_address,t_mapping(t_uint256,t_uint256))
46891,contracts/EPASSVer1.sol:EPASSVer1,_ownedTokensIndex,0,152,t_mapping(t_uint256,t_uint256)
46894,contracts/EPASSVer1.sol:EPASSVer1,_allTokens,0,153,t_array(t_uint256)dyn_storage
46898,contracts/EPASSVer1.sol:EPASSVer1,_allTokensIndex,0,154,t_mapping(t_uint256,t_uint256)
47214,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,155,t_array(t_uint256)46_storage
46856,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,201,t_array(t_uint256)50_storage
45490,contracts/EPASSVer1.sol:EPASSVer1,_owner,0,251,t_address
45610,contracts/EPASSVer1.sol:EPASSVer1,__gap,0,252,t_array(t_uint256)49_storage
134,contracts/EPASSVer1.sol:EPASSVer1,_royaltyFraction,0,301,t_uint96
149,contracts/EPASSVer1.sol:EPASSVer1,_royaltyReceiver,12,301,t_address
192,contracts/EPASSVer1.sol:EPASSVer1,_tokenURI,0,302,t_string_storage
220,contracts/EPASSVer1.sol:EPASSVer1,contractURI,0,303,t_string_storage
235,contracts/EPASSVer1.sol:EPASSVer1,_tokenIdCounter,0,304,t_struct(Counter)47564_storage
274,contracts/EPASSVer1.sol:EPASSVer1,allowListMemberMintCount,0,305,t_mapping(t_address,t_uint256)
382,contracts/EPASSVer1.sol:EPASSVer1,mintLimit,0,306,t_uint256
413,contracts/EPASSVer1.sol:EPASSVer1,allowListPrice,0,307,t_uint256
427,contracts/EPASSVer1.sol:EPASSVer1,publicPrice,0,308,t_uint256
459,contracts/EPASSVer1.sol:EPASSVer1,_merkleRoot,0,309,t_bytes32
473,contracts/EPASSVer1.sol:EPASSVer1,allowlistedMemberMintLimit,0,310,t_uint256
548,contracts/EPASSVer1.sol:EPASSVer1,isPublicMintPaused,0,311,t_bool
599,contracts/EPASSVer1.sol:EPASSVer1,isAllowlistMintPaused,1,311,t_bool
651,contracts/EPASSVer1.sol:EPASSVer1,_distributees,0,312,t_array(t_address)dyn_storage
653,contracts/EPASSVer1.sol:EPASSVer1,_distributionRate,0,313,t_uint256
